Pos,Equipo,PJ,PG,PE,PP,Pts,GF,GC,DG
1,Gimnasia L.P.,27,21,2,4,65,61,18,43
2,River Plate,27,18,6,3,60,75,36,39
3,Boca Juniors,27,19,3,5,60,62,30,32
4,Huracan,27,17,5,5,56,62,28,34
5,Argentinos JRS,27,16,6,5,54,59,32,27
6,Racing Club,27,15,7,5,52,49,24,25
7,Atletico Tucuman,27,14,5,8,47,47,32,15
8,Tigre,27,13,7,7,46,47,32,15
9,Newells Old Boys,27,14,3,10,45,44,38,6
10,Talleres Cordoba,27,12,7,8,43,39,31,8
11,Banfield,27,13,4,10,43,37,38,-1
12,Defensa Y Justicia,27,10,7,10,37,34,34,0
13,Rosario Central,27,10,7,10,37,42,46,-4
14,Patronato,27,10,6,11,36,42,40,2
15,Velez Sarsfield,27,10,5,12,35,34,43,-9
16,San Lorenzo,27,9,7,11,34,34,39,-5
17,Barracas Central,27,10,4,13,34,38,49,-11
18,Independiente,27,8,9,10,33,46,46,0
19,Arsenal Sarandi,27,9,6,12,33,31,40,-9
20,Sarmiento Junin,27,10,3,14,33,35,48,-13
21,Central Cordoba de Santiago,27,9,5,13,32,40,53,-13
22,Union Santa Fe,27,8,7,12,31,39,48,-9
23,Platense,27,7,7,13,28,31,38,-7
24,Colon Santa Fe,27,6,5,16,23,27,54,-27
25,Lanus,27,5,4,18,19,28,76,-48
26,Godoy Cruz,27,4,6,17,18,34,47,-13
27,Estudiantes L.P.,27,3,6,18,15,27,60,-33
28,Aldosivi,27,2,3,22,9,26,70,-44
